notes,has_complication,ssn,hospital
high risk,True,001-15-5323,AL
normal risk,True,001-24-5429,AR
normal risk,False,001-44-2119,AK
normal risk,False,001-63-3296,AR
normal risk,True,001-98-3642,AL
normal risk,False,002-06-0582,AK
normal risk,True,002-39-3006,AR
high risk,False,002-61-3596,AL
high risk,False,002-62-2397,AL
high risk,True,002-62-7289,AR
normal risk,False,002-74-6527,AK
normal risk,False,002-82-7586,AK
normal risk,False,002-99-0535,AK
normal risk,False,003-11-1371,AL
normal risk,False,003-45-4493,AL
normal risk,False,003-48-6410,AK
normal risk,False,003-52-9840,AL
high risk,True,003-63-3630,AL
normal risk,False,003-75-9988,AR
normal risk,False,004-07-6244,AR
normal risk,False,004-12-5933,AK
normal risk,True,004-23-1252,AR
normal risk,False,004-40-2813,AR
normal risk,False,004-46-6206,AL
normal risk,False,004-67-8876,AR
normal risk,False,004-84-8669,AK
high risk,True,005-24-1852,AK
normal risk,True,005-27-5377,AR
normal risk,False,005-44-4128,AK
normal risk,True,005-46-3387,AL
normal risk,False,005-79-1631,AK
normal risk,False,005-85-3253,AL
normal risk,False,005-93-4012,AL
high risk,False,006-01-0610,AK
normal risk,True,006-19-1181,AR
normal risk,False,006-40-1782,AK
normal risk,False,006-62-1438,AK
normal risk,False,006-80-0980,AL
normal risk,False,007-01-3983,AR
normal risk,False,007-17-9090,AL
normal risk,False,007-25-0238,AR
normal risk,False,007-26-1703,AL
normal risk,False,007-27-7589,AR
normal risk,False,007-34-4681,AK
normal risk,False,007-66-1137,AK
normal risk,False,007-78-0200,AR
high risk,True,007-82-8750,AK
normal risk,False,007-86-8111,AL
normal risk,False,007-96-4223,AK
normal risk,True,008-07-3146,AL
normal risk,False,008-11-4876,AL
normal risk,False,008-15-8638,AL
normal risk,False,008-30-7164,AL
normal risk,False,008-44-3211,AL
normal risk,False,008-62-0600,AK
normal risk,False,008-88-7962,AR
normal risk,True,009-04-0766,AR
normal risk,False,009-06-4447,AL
normal risk,False,009-21-1833,AR
normal risk,False,009-37-6237,AK
normal risk,False,009-43-5466,AK
normal risk,False,009-59-4178,AK
normal risk,False,009-68-3820,AL
normal risk,False,009-74-4199,AK
normal risk,False,009-85-9397,AR
normal risk,False,010-10-1137,AK
normal risk,False,010-23-9846,AR
normal risk,False,010-30-0604,AL
normal risk,False,010-35-9386,AK
normal risk,False,010-84-0223,AR
normal risk,False,011-07-4255,AL
high risk,True,011-10-7806,AR
high risk,True,011-47-5619,AR
normal risk,False,011-71-9210,AR
normal risk,False,011-75-1221,AL
normal risk,False,011-81-7059,AR
normal risk,False,011-95-1500,AK
normal risk,False,011-97-1421,AL
normal risk,False,012-15-8282,AR
normal risk,True,012-18-5050,AR
high risk,True,012-24-5743,AL
normal risk,False,012-42-7576,AK
high risk,False,012-43-4168,AL
normal risk,False,012-64-0940,AR
high risk,False,012-96-6273,AK
normal risk,False,013-08-0578,AL
normal risk,True,013-18-0607,AL
normal risk,False,013-31-6892,AL
normal risk,False,013-36-2223,AR
normal risk,False,013-63-0040,AR
normal risk,False,013-73-5202,AR
normal risk,True,013-86-2621,AL
high risk,True,013-96-3800,AR
normal risk,True,014-02-5115,AK
normal risk,False,014-07-9246,AK
normal risk,False,014-13-7660,AK
high risk,True,014-34-6327,AK
normal risk,False,014-46-0810,AR
normal risk,False,014-64-6495,AK
high risk,True,014-72-0967,AK
normal risk,False,014-79-7216,AL
normal risk,False,014-81-0211,AR
normal risk,False,014-82-1343,AK
normal risk,False,015-01-9274,AL
high risk,True,015-28-2492,AL
normal risk,True,015-63-9073,AK
high risk,False,015-80-3337,AK
normal risk,False,016-09-5629,AR
normal risk,False,016-41-0371,AR
normal risk,False,016-56-9832,AR
normal risk,True,016-87-5654,AK
high risk,True,016-92-2516,AL
normal risk,False,017-38-6691,AR
normal risk,False,017-44-9791,AL
normal risk,True,017-48-7893,AL
normal risk,False,017-51-3043,AK
normal risk,False,017-54-1188,AR
normal risk,False,017-66-4971,AK
normal risk,False,017-76-9296,AR
normal risk,False,017-84-0334,AL
normal risk,False,017-85-6106,AR
normal risk,False,017-86-2287,AR
normal risk,False,017-89-9813,AR
normal risk,False,018-05-4844,AL
normal risk,True,018-15-7542,AK
normal risk,False,018-16-6650,AK
normal risk,False,018-25-2343,AK
normal risk,False,018-32-5659,AK
high risk,True,018-56-3019,AK
normal risk,False,018-63-3288,AK
normal risk,True,018-77-6628,AK
normal risk,True,018-98-4130,AR
normal risk,False,019-28-3465,AL
normal risk,False,019-38-4888,AR
high risk,True,019-52-4554,AR
normal risk,False,019-78-1135,AR
normal risk,False,019-86-6284,AR
normal risk,False,019-89-3585,AL
normal risk,False,020-59-0486,AL
normal risk,True,020-74-4209,AK
normal risk,True,020-77-2232,AK
normal risk,False,021-41-7263,AR
normal risk,False,021-54-9608,AL
normal risk,True,021-63-5061,AR
normal risk,True,021-72-7539,AL
normal risk,False,021-78-3324,AL
normal risk,True,021-84-1887,AK
high risk,False,021-98-6176,AR
high risk,True,022-10-1938,AL
normal risk,False,022-12-8350,AK
normal risk,False,022-15-1780,AL
normal risk,False,022-16-2901,AK
normal risk,False,022-19-2467,AR
normal risk,False,022-20-5569,AK
high risk,True,022-35-6820,AK
normal risk,True,022-48-1510,AK
normal risk,True,022-56-7074,AK
normal risk,True,022-76-9530,AK
normal risk,False,022-78-5505,AL
high risk,False,022-82-3396,AR
normal risk,False,022-97-8511,AL
normal risk,False,023-54-1273,AL
normal risk,True,023-67-0931,AK
high risk,False,023-78-6580,AR
normal risk,False,023-79-4444,AR
normal risk,False,023-81-7317,AL
normal risk,False,024-05-7390,AL
normal risk,False,024-26-4023,AL
high risk,True,024-43-5055,AK
normal risk,False,024-62-4352,AR
normal risk,True,024-71-6604,AK
normal risk,False,025-17-5132,AR
high risk,True,025-18-6007,AK
normal risk,False,025-30-7266,AK
normal risk,False,025-62-2910,AK
normal risk,False,025-62-9700,AK
normal risk,False,025-67-8004,AK
normal risk,False,025-85-1125,AR
high risk,True,025-90-0932,AK
normal risk,False,026-28-9791,AR
normal risk,False,026-29-8111,AR
normal risk,True,026-33-4347,AR
normal risk,False,026-37-5682,AL
normal risk,False,026-37-6148,AR
normal risk,False,026-44-8127,AL
normal risk,False,026-53-1061,AK
normal risk,True,026-75-4171,AK
normal risk,False,027-12-0434,AR
normal risk,False,027-14-9237,AL
normal risk,False,027-52-8373,AK
normal risk,False,027-64-4307,AL
normal risk,True,027-70-7203,AL
normal risk,False,027-74-5262,AL
normal risk,False,027-82-2208,AL
normal risk,False,027-91-0562,AR
normal risk,False,028-01-8170,AL
normal risk,True,028-27-4309,AR
normal risk,False,028-60-0651,AR
normal risk,False,028-61-4259,AR
normal risk,False,028-64-6759,AL
normal risk,False,028-69-2843,AK
normal risk,False,028-74-7399,AK
high risk,False,028-81-4514,AR
normal risk,True,028-99-3932,AR
normal risk,False,029-07-1193,AL
normal risk,False,029-46-4953,AL
normal risk,False,029-76-8053,AR
normal risk,False,029-93-2430,AK
normal risk,False,030-13-9024,AR
normal risk,False,030-23-7110,AL
normal risk,False,030-43-8811,AK
normal risk,True,030-45-2358,AR
normal risk,True,030-57-0285,AK
high risk,True,030-63-5811,AK
normal risk,True,031-02-9139,AR
normal risk,False,031-11-7942,AR
normal risk,True,031-33-8546,AR
normal risk,True,031-42-9130,AL
normal risk,False,031-55-2241,AL
normal risk,False,031-64-2280,AK
normal risk,True,031-72-0718,AL
normal risk,False,031-77-6675,AR
normal risk,True,031-86-0778,AK
normal risk,False,031-89-8248,AL
normal risk,False,031-98-9673,AL
normal risk,False,032-09-8072,AR
high risk,True,032-13-6343,AL
normal risk,True,032-30-5417,AL
normal risk,False,032-32-5331,AL
normal risk,False,032-58-8793,AK
normal risk,False,032-68-9424,AR
normal risk,False,032-93-9754,AR
normal risk,False,033-29-7158,AL
normal risk,False,033-39-2574,AK
normal risk,True,033-61-5997,AL
high risk,False,033-61-7163,AR
normal risk,True,033-65-5477,AL
normal risk,True,033-66-2129,AR
normal risk,False,033-97-6874,AL
normal risk,False,033-98-8308,AK
normal risk,False,034-17-3107,AK
normal risk,False,034-32-2205,AK
normal risk,False,034-60-3275,AL
high risk,True,034-72-7798,AR
normal risk,True,034-83-4657,AL
normal risk,False,034-91-5776,AL
normal risk,False,034-91-6993,AK
normal risk,False,034-94-1672,AL
normal risk,False,034-99-0522,AL
normal risk,False,035-09-3676,AR
normal risk,False,035-25-3328,AK
normal risk,False,035-28-6133,AK
normal risk,False,035-60-1073,AK
normal risk,True,035-92-0654,AL
normal risk,False,035-92-9591,AK
normal risk,False,036-09-2370,AL
normal risk,False,036-21-4572,AL
normal risk,True,036-23-8740,AR
high risk,True,036-28-3664,AL
high risk,True,036-31-6731,AK
normal risk,True,036-45-2657,AK
normal risk,False,036-48-0019,AL
normal risk,True,036-48-7995,AL
normal risk,True,036-55-7129,AR
normal risk,False,036-70-2636,AL
normal risk,False,036-92-4141,AL
high risk,True,037-22-9630,AK
normal risk,False,037-51-4429,AK
normal risk,False,037-70-9361,AL
normal risk,False,037-84-6148,AK
normal risk,True,037-96-3583,AL
normal risk,True,038-01-0981,AR
normal risk,False,038-12-8860,AK
normal risk,True,038-19-6679,AL
normal risk,False,038-29-4384,AK
high risk,False,038-29-6815,AL
normal risk,False,038-34-0838,AL
normal risk,False,038-39-1787,AR
normal risk,True,038-46-6775,AK
normal risk,False,038-53-2376,AK
normal risk,False,038-69-3937,AK
high risk,True,038-74-8126,AL
high risk,True,038-81-8937,AL
normal risk,False,039-01-6861,AL
normal risk,False,039-07-2975,AK
normal risk,False,039-09-9981,AL
normal risk,False,039-33-3107,AR
normal risk,True,039-37-8362,AK
normal risk,True,039-44-0945,AK
normal risk,False,039-46-7256,AK
normal risk,False,040-23-8816,AL
normal risk,True,040-24-6035,AL
normal risk,True,040-25-3581,AK
normal risk,False,040-48-9682,AR
normal risk,True,040-51-3637,AL
normal risk,False,040-66-0247,AK
normal risk,False,040-83-5941,AR
normal risk,True,041-02-7465,AR
normal risk,False,041-13-3866,AK
normal risk,False,041-32-0436,AK
normal risk,True,041-35-9264,AK
normal risk,False,041-39-8071,AK
high risk,True,041-44-1714,AK
normal risk,False,041-51-1810,AL
normal risk,False,041-78-9288,AK
normal risk,False,041-83-5185,AK
normal risk,False,042-35-1065,AR
normal risk,False,042-37-4449,AR
normal risk,False,042-45-8141,AR
normal risk,False,042-47-8801,AK
normal risk,True,042-51-9346,AK
normal risk,False,042-95-6038,AL
normal risk,True,043-10-5970,AK
normal risk,False,043-12-7884,AR
normal risk,False,043-17-6941,AL
normal risk,False,043-18-8087,AK
normal risk,False,043-24-9955,AL
high risk,False,043-33-1496,AK
normal risk,False,044-06-3960,AR
normal risk,False,044-37-0291,AK
normal risk,False,044-43-8416,AL
normal risk,False,044-47-7836,AL
normal risk,False,044-73-9182,AK
normal risk,False,044-80-5978,AL
normal risk,False,044-90-1327,AR
normal risk,True,045-14-0137,AL
normal risk,False,045-30-1753,AK
normal risk,False,045-38-5894,AL
high risk,True,045-51-6009,AL
normal risk,False,045-58-3141,AK
normal risk,False,045-65-0459,AR
normal risk,False,045-66-9018,AK
normal risk,False,045-86-3587,AK
normal risk,False,046-04-4005,AR
normal risk,False,046-19-6102,AR
normal risk,False,046-21-6661,AK
normal risk,False,046-22-6797,AK
normal risk,False,046-49-9030,AL
high risk,True,046-56-1740,AK
normal risk,False,046-80-2519,AL
normal risk,False,047-01-9732,AL
normal risk,False,047-04-3279,AL
normal risk,False,047-13-7026,AL
normal risk,True,047-16-3834,AR
normal risk,False,047-55-2706,AR
normal risk,False,047-61-4004,AK
high risk,True,047-64-3576,AK
normal risk,True,047-90-5564,AR
normal risk,False,047-97-6534,AK
normal risk,True,047-98-9197,AL
high risk,False,048-05-1058,AL
normal risk,False,048-40-1045,AL
normal risk,False,048-43-9992,AL
high risk,True,048-56-9814,AR
normal risk,True,048-58-9829,AK
normal risk,False,048-70-5311,AL
normal risk,False,048-75-1154,AR
high risk,True,048-85-8894,AL
normal risk,False,048-96-1520,AL
normal risk,True,049-03-9732,AR
normal risk,False,049-05-7352,AR
normal risk,True,049-32-8245,AR
high risk,False,049-51-3044,AR
normal risk,False,049-66-9142,AL
high risk,False,049-68-5756,AK
normal risk,True,049-73-6077,AK
normal risk,False,049-80-2589,AR
normal risk,False,049-96-0801,AK
normal risk,False,050-68-0426,AR
normal risk,False,051-10-2639,AK
normal risk,False,051-14-5382,AK
normal risk,True,051-29-8431,AK
normal risk,True,051-45-4999,AL
high risk,True,051-55-5629,AL
normal risk,True,051-77-8529,AK
normal risk,False,051-93-5441,AR
high risk,True,051-95-5593,AR
normal risk,False,052-14-8411,AR
normal risk,False,052-21-4465,AK
normal risk,False,052-83-2028,AK
normal risk,False,052-84-8001,AK
normal risk,False,052-88-8425,AL
high risk,True,053-12-6037,AK
normal risk,True,053-29-8593,AR
normal risk,False,053-43-4930,AL
high risk,False,053-63-7756,AK
normal risk,False,053-63-8001,AK
normal risk,False,053-67-0471,AL
normal risk,False,053-95-7469,AR
normal risk,False,053-96-6716,AR
normal risk,False,054-50-6715,AR
normal risk,False,054-51-6326,AK
normal risk,False,054-53-7328,AL
high risk,True,054-57-9249,AR
normal risk,False,054-60-0361,AL
normal risk,True,054-72-8262,AR
normal risk,False,054-75-5518,AR
normal risk,False,055-02-7141,AK
normal risk,False,055-03-7936,AR
normal risk,False,055-10-6125,AR
normal risk,False,055-50-4955,AK
normal risk,False,055-56-3815,AR
normal risk,False,055-60-1455,AK
normal risk,False,055-79-3249,AR
normal risk,False,055-84-5387,AK
normal risk,False,055-98-0765,AK
normal risk,False,055-98-8184,AK
normal risk,False,056-04-3947,AK
normal risk,False,056-35-7024,AK
normal risk,False,056-40-0011,AR
normal risk,False,056-62-1342,AL
normal risk,True,056-66-6492,AK
high risk,True,056-82-6170,AR
high risk,True,056-97-7622,AK
normal risk,True,057-10-0293,AL
normal risk,False,057-14-1187,AK
normal risk,False,057-23-5821,AR
high risk,False,057-30-9741,AR
normal risk,True,057-54-3367,AR
