smokes,weight,gave_consent,ssn,notes,has_complication,hospital
no,81.73846816241817,true,291-52-4957,normal risk,false,AL
no,58.33552143345234,true,554-60-6241,normal risk,false,AL
yes,78.75783972809576,true,032-13-6343,high risk,true,AL
no,62.08417954484519,true,877-73-9660,normal risk,false,AL
yes,80.93031208574749,true,473-55-0325,normal risk,false,AL
no,60.16630503986644,true,637-66-7309,normal risk,false,AL
no,57.18554215772069,true,280-58-9098,normal risk,true,AL
yes,58.221341988483225,true,379-17-3522,normal risk,false,AL
yes,58.01931149386716,true,154-20-0758,high risk,true,AL
no,58.1525444422639,true,485-11-4014,normal risk,false,AL
no,61.581139352864895,true,021-54-9608,normal risk,false,AL
yes,79.88769563244287,true,310-33-4756,high risk,true,AL
yes,57.46412883130127,true,433-47-9142,normal risk,true,AL
no,71.8954294878013,true,671-95-4565,normal risk,true,AL
no,59.86816934262975,true,445-68-2430,normal risk,false,AL
no,77.87163986739704,true,109-97-1422,normal risk,false,AL
no,59.65543056948959,true,397-16-1946,normal risk,true,AL
yes,74.47404204260107,true,751-79-7827,high risk,true,AL
no,61.61920571202839,true,193-51-7476,normal risk,false,AL
yes,58.335558107311044,true,849-24-9065,normal risk,true,AL
no,56.66976980500188,true,831-28-5514,normal risk,false,AL
yes,72.68887469037384,true,230-36-8477,high risk,false,AL
no,85.99339361233834,true,608-42-7527,high risk,true,AL
no,88.88852132384746,true,477-02-4050,high risk,false,AL
yes,87.27171738195317,true,746-91-1250,high risk,true,AL
no,66.23953271050111,true,005-93-4012,normal risk,false,AL
no,80.0902755482814,true,854-82-1073,normal risk,false,AL
no,83.139334162654,true,417-96-3431,normal risk,false,AL
no,73.19940985230096,true,162-55-8151,normal risk,false,AL
yes,63.16213527356794,true,294-72-4060,high risk,true,AL
no,59.108825754727874,true,017-44-9791,normal risk,false,AL
yes,77.16829384083391,true,362-59-7914,normal risk,true,AL
no,56.785522713759825,true,430-95-7019,normal risk,true,AL
no,56.40228461211125,true,139-22-2348,normal risk,false,AL
no,60.22848953336673,true,302-53-3018,normal risk,true,AL
no,85.6522626539131,true,762-95-6294,high risk,false,AL
yes,56.45834134140669,true,465-05-1542,normal risk,true,AL
no,68.91725149482276,true,305-05-0679,normal risk,true,AL
no,59.725455574928695,true,735-42-5039,normal risk,false,AL
no,55.47877942348329,true,467-03-3968,normal risk,true,AL
no,66.11905811147676,true,487-42-0738,normal risk,false,AL
no,58.02372874818023,true,053-67-0471,normal risk,false,AL
no,79.57963271565244,true,043-24-9955,normal risk,false,AL
yes,60.95584804628584,true,557-19-1807,high risk,false,AL
no,70.8071198314089,true,576-68-2802,normal risk,false,AL
no,61.60274026275243,true,332-44-3587,normal risk,false,AL
yes,54.77954303719771,true,253-54-7948,normal risk,true,AL
yes,84.38115331577069,true,380-32-7774,high risk,true,AL
no,62.146616771223854,true,337-04-9833,normal risk,false,AL
no,76.54443729604402,true,826-72-7892,normal risk,true,AL
yes,56.079874831033386,true,157-74-7412,normal risk,true,AL
no,57.76184133061715,true,556-96-9544,normal risk,false,AL
yes,84.29425214299525,true,181-43-1392,high risk,false,AL
yes,58.30688156544082,true,220-01-6752,high risk,false,AL
no,56.47992467361993,true,454-59-5377,normal risk,false,AL
no,60.6950763507469,true,472-34-3100,normal risk,false,AL
no,81.58966840814284,true,868-81-6973,normal risk,false,AL
no,59.16456552764148,true,449-72-3122,normal risk,false,AL
no,86.49320097797478,true,455-86-4456,normal risk,false,AL
no,58.45261436440146,true,870-03-2503,normal risk,false,AL
no,81.90932421912515,true,691-06-8508,normal risk,false,AL
yes,75.90255022535777,true,793-46-2385,high risk,true,AL
yes,60.7611031775935,true,557-86-3684,normal risk,true,AL
no,79.9235693694255,true,209-37-2487,normal risk,false,AL
no,76.16225529081721,true,120-23-6951,normal risk,true,AL
no,81.43008471671506,true,770-52-2904,normal risk,false,AL
no,83.5825395601732,true,500-02-5035,normal risk,false,AL
no,70.61293577388103,true,294-79-0818,normal risk,false,AL
no,56.61563971957146,true,426-17-5092,normal risk,false,AL
no,60.667271412656824,true,771-46-1025,normal risk,false,AL
no,76.25097498260371,true,741-62-9407,normal risk,false,AL
no,77.10882620859883,true,232-85-2442,normal risk,false,AL
yes,74.73076614551341,true,664-96-8820,high risk,false,AL
yes,85.45022689599199,true,259-63-6506,normal risk,true,AL
no,59.67537107593488,true,187-48-8524,normal risk,false,AL
no,75.33620934685686,true,121-61-0156,normal risk,true,AL
no,83.78043110459461,true,850-70-2546,normal risk,false,AL
yes,58.89547614252085,true,699-47-6675,normal risk,true,AL
no,72.72481311851011,true,485-38-4138,normal risk,false,AL
no,54.32540636539922,true,707-97-3127,normal risk,false,AL
no,57.182423905388724,true,243-03-5583,normal risk,false,AL
yes,88.20975779943089,true,202-16-6739,normal risk,false,AL
no,57.63109918017483,true,431-08-6479,normal risk,false,AL
no,57.66839979553544,true,819-71-8944,normal risk,true,AL
yes,71.43951361383459,true,441-47-7108,high risk,true,AL
yes,79.74602527691992,true,732-44-7331,normal risk,true,AL
no,78.01357256785248,true,715-59-8669,normal risk,false,AL
no,56.83358003017899,true,888-15-8319,normal risk,false,AL
no,78.25074301027375,true,222-59-3634,normal risk,true,AL
no,83.82744975126761,true,144-62-7074,normal risk,false,AL
no,80.393120403512,true,111-63-7839,normal risk,false,AL
yes,52.291625004877176,true,194-07-6030,normal risk,true,AL
no,58.25109952879524,true,459-19-1710,normal risk,true,AL
no,81.88540984835063,true,858-19-3967,normal risk,false,AL
no,62.01459632138065,true,499-33-0887,normal risk,false,AL
no,76.76770278770476,true,250-79-4404,normal risk,false,AL
no,59.316926101886196,true,392-21-9906,normal risk,false,AL
yes,82.12953812568205,true,227-38-3504,high risk,true,AL
no,61.02148026796397,true,479-71-2037,normal risk,false,AL
yes,80.43637288564932,true,330-57-9740,normal risk,false,AL
no,76.7990687984529,true,023-54-1273,normal risk,false,AL
no,81.72171967278068,true,092-85-1992,normal risk,false,AL
no,61.37288409032541,true,310-65-5548,normal risk,false,AL
no,82.62693866736575,true,833-76-8186,normal risk,false,AL
no,82.73800996920657,true,814-28-2008,normal risk,true,AL
no,79.82761665011098,true,429-20-3890,normal risk,true,AL
no,75.3884655154716,true,303-87-4399,normal risk,false,AL
no,81.1155376687276,true,654-44-4389,normal risk,false,AL
yes,77.09471131600402,true,384-77-0996,high risk,false,AL
no,58.85187368102885,true,536-89-6852,normal risk,true,AL
yes,55.72362280895203,true,353-47-4610,high risk,true,AL
no,79.365275956918,true,069-17-8832,normal risk,false,AL
no,84.13524452033207,true,582-20-1688,normal risk,false,AL
no,52.281880407441584,true,090-06-5392,normal risk,true,AL
no,79.31728536794252,true,001-98-3642,normal risk,true,AL
no,75.93081289573307,true,059-50-0449,normal risk,false,AL
no,63.06028089212283,true,801-37-4073,normal risk,true,AL
yes,75.72138538833713,true,745-11-7389,high risk,false,AL
no,83.85329209992699,true,708-07-5318,normal risk,true,AL
no,81.55406594073409,true,289-37-4922,normal risk,false,AL
no,59.45290106579509,true,480-87-7128,normal risk,true,AL
no,82.33349271645609,true,449-07-3847,normal risk,false,AL
no,58.484466672067185,true,487-27-7128,normal risk,false,AL
yes,77.4554121490246,true,738-67-2391,high risk,true,AL
no,59.46605256200227,true,027-74-5262,normal risk,false,AL
no,82.09043911207526,true,685-44-8534,normal risk,false,AL
no,58.50801847657598,true,275-06-9872,normal risk,false,AL
yes,60.07935434228742,true,119-13-7377,high risk,false,AL
no,71.10624836370447,true,359-81-2013,normal risk,false,AL
no,81.84964138422514,true,545-63-2205,normal risk,false,AL
no,78.796406114628,true,249-46-8731,normal risk,false,AL
no,84.09968929770675,true,242-59-0432,normal risk,false,AL
no,69.8660214615241,true,513-31-5092,normal risk,false,AL
no,76.42321892778492,true,324-61-6837,normal risk,true,AL
yes,56.99708602014273,true,340-67-6796,normal risk,false,AL
no,58.9564743496554,true,847-23-1071,normal risk,true,AL
no,75.60991738336972,true,061-68-4295,normal risk,false,AL
no,80.37458030122153,true,013-31-6892,normal risk,false,AL
no,80.41775505215986,true,061-94-5029,normal risk,false,AL
no,76.254025705407,true,171-09-3971,normal risk,false,AL
no,59.45136813905472,true,074-57-7870,normal risk,false,AL
no,85.15826957677535,true,408-32-5018,high risk,false,AL
no,84.73246148315587,true,584-85-9040,normal risk,true,AL
no,90.57244262785987,true,387-65-9567,high risk,true,AL
no,54.25475607052613,true,531-81-5875,normal risk,true,AL
no,61.9449877316779,true,482-32-5863,normal risk,false,AL
yes,59.97351304948177,true,693-32-0392,normal risk,true,AL
yes,56.87822787457088,true,316-20-4214,high risk,false,AL
no,61.98497764424562,true,131-06-0006,normal risk,false,AL
no,74.35410747611519,true,617-88-2118,normal risk,false,AL
yes,79.68865198664905,true,155-69-7721,normal risk,false,AL
no,58.39083989915137,true,226-77-1190,normal risk,false,AL
no,59.81985844828631,true,490-44-6239,normal risk,true,AL
yes,79.40611474799596,true,447-22-2427,high risk,true,AL
no,61.470629191167994,true,437-17-3719,normal risk,false,AL
no,58.4906885266746,true,835-62-6060,normal risk,false,AL
no,57.84668056391056,true,803-83-7240,normal risk,false,AL
no,57.75737364167384,true,531-52-3349,normal risk,false,AL
yes,59.22660490585764,true,031-72-0718,normal risk,true,AL
no,84.96542117963683,true,698-87-6112,normal risk,false,AL
no,76.78645184023316,true,328-77-5445,normal risk,false,AL
no,83.67829585262584,true,892-26-0862,normal risk,false,AL
yes,85.77707859192509,true,541-62-1631,high risk,true,AL
no,80.52683773097581,true,751-29-0636,normal risk,false,AL
yes,58.3212533136838,true,155-30-1780,high risk,false,AL
no,57.36720399839662,true,176-93-4049,normal risk,false,AL
no,85.07768438745815,true,460-11-4647,normal risk,true,AL
no,77.17879675252266,true,711-07-3876,normal risk,false,AL
no,57.549590876048285,true,169-04-9604,normal risk,false,AL
yes,56.472296792013424,true,870-56-8221,high risk,true,AL
no,75.8549463163448,true,549-49-2826,normal risk,false,AL
no,71.23711948746217,true,716-13-5270,normal risk,true,AL
