smokes,weight,gave_consent,ssn,notes,has_complication,hospital
yes,89.01595346195144,True,001-15-5323,high risk,True,AL
no,81.80757376330088,True,001-24-5429,normal risk,True,AR
no,60.2883445081748,True,001-44-2119,normal risk,False,AK
no,60.80391905878914,True,001-63-3296,normal risk,False,AR
no,79.31728536794252,True,001-98-3642,normal risk,True,AL
no,77.07221580511177,True,002-06-0582,normal risk,False,AK
no,82.51901671369468,True,002-39-3006,normal risk,True,AR
yes,77.6292839576505,True,002-61-3596,high risk,False,AL
yes,79.63782140927805,True,002-62-7289,high risk,True,AR
no,82.52677850285944,True,002-74-6527,normal risk,False,AK
no,77.3639196202818,True,002-82-7586,normal risk,False,AK
no,61.64095980121044,True,002-99-0535,normal risk,False,AK
no,54.41942144174562,True,003-11-1371,normal risk,False,AL
no,63.05372604674447,True,003-45-4493,normal risk,False,AL
no,61.5370757518535,True,003-48-6410,normal risk,False,AK
no,55.82920389915926,True,003-52-9840,normal risk,False,AL
yes,83.08731261327836,True,003-63-3630,high risk,True,AL
no,79.67940533684302,True,003-75-9988,normal risk,False,AR
no,60.802640504244536,True,004-07-6244,normal risk,False,AR
no,78.26316101636944,True,004-12-5933,normal risk,False,AK
no,86.01831385616869,True,004-23-1252,normal risk,True,AR
no,82.7542662810251,True,004-40-2813,normal risk,False,AR
no,57.79553373589637,True,004-46-6206,normal risk,False,AL
no,63.26375978517409,True,004-67-8876,normal risk,False,AR
no,62.71037208538027,True,004-84-8669,normal risk,False,AK
yes,89.09462741670406,True,005-24-1852,high risk,True,AK
no,56.1627757578903,True,005-27-5377,normal risk,True,AR
no,60.175090460722224,True,005-44-4128,normal risk,False,AK
no,62.28433169373922,True,005-46-3387,normal risk,True,AL
no,62.89012119750235,True,005-79-1631,normal risk,False,AK
no,57.01319380081236,True,005-85-3253,normal risk,False,AL
no,66.23953271050111,True,005-93-4012,normal risk,False,AL
no,88.53867730471424,True,006-01-0610,high risk,False,AK
yes,62.66899024636585,True,006-19-1181,normal risk,True,AR
no,59.33648031957959,True,006-40-1782,normal risk,False,AK
no,57.69432878116825,True,006-62-1438,normal risk,False,AK
no,84.70313046667262,True,006-80-0980,normal risk,False,AL
no,58.37770721481542,True,007-01-3983,normal risk,False,AR
yes,77.74313010533233,True,007-17-9090,normal risk,False,AL
no,55.82713671314284,True,007-25-0238,normal risk,False,AR
no,54.63743698630054,True,007-26-1703,normal risk,False,AL
no,74.51869625375436,True,007-27-7589,normal risk,False,AR
no,76.66240765089097,True,007-34-4681,normal risk,False,AK
no,62.134501106893616,True,007-66-1137,normal risk,False,AK
no,83.29566029312434,True,007-78-0200,normal risk,False,AR
yes,62.62012702872353,True,007-82-8750,high risk,True,AK
no,63.67570682582415,True,007-86-8111,normal risk,False,AL
no,79.04354135366202,True,007-96-4223,normal risk,False,AK
yes,75.75782869253524,True,008-07-3146,normal risk,True,AL
no,58.63801171687225,True,008-11-4876,normal risk,False,AL
no,71.49919548506608,True,008-15-8638,normal risk,False,AL
no,71.7697746846353,True,008-30-7164,normal risk,False,AL
no,58.82761781293379,True,008-62-0600,normal risk,False,AK
no,63.53062350092704,True,008-88-7962,normal risk,False,AR
no,68.83217518971277,True,009-04-0766,normal risk,True,AR
no,82.64219248239958,True,009-06-4447,normal risk,False,AL
